n,bs,bls,c,k,a
5,"(2, 2)","(1, 1)","(1, 1)",4,7.7
5,"(2, 2)","(1, 1)","(1, 1)",7,7.7
5,"(2, 2)","(1, 1)","(1, 1)",10,7.2
5,"(2, 2)","(1, 1)","(1, 1)",14,7.5
5,"(2, 2)","(1, 1)","(1, 1)",18,7.4
5,"(2, 2)","(1, 1)","(1, 1)",25,7.5
5,"(2, 2)","(1, 1)","(2, 2)",4,9.9
5,"(2, 2)","(1, 1)","(2, 2)",7,10.5
5,"(2, 2)","(1, 1)","(2, 2)",10,10.7
5,"(2, 2)","(1, 1)","(2, 2)",14,11.4
5,"(2, 2)","(1, 1)","(2, 2)",18,11.3
5,"(2, 2)","(1, 1)","(2, 2)",25,10.7
5,"(2, 2)","(2, 2)","(1, 1)",4,7.2
5,"(2, 2)","(2, 2)","(1, 1)",7,7.6
5,"(2, 2)","(2, 2)","(1, 1)",10,7.2
5,"(2, 2)","(2, 2)","(1, 1)",14,7.9
5,"(2, 2)","(2, 2)","(1, 1)",18,7.7
5,"(2, 2)","(2, 2)","(1, 1)",25,7.0
5,"(2, 2)","(2, 2)","(2, 2)",4,8.6
5,"(2, 2)","(2, 2)","(2, 2)",7,9.0
5,"(2, 2)","(2, 2)","(2, 2)",10,8.9
5,"(2, 2)","(2, 2)","(2, 2)",14,9.3
5,"(2, 2)","(2, 2)","(2, 2)",18,9.1
5,"(2, 2)","(2, 2)","(2, 2)",25,8.5
5,"(4, 4)","(1, 1)","(1, 1)",4,9.7
5,"(4, 4)","(1, 1)","(1, 1)",7,9.2
5,"(4, 4)","(1, 1)","(1, 1)",10,8.5
5,"(4, 4)","(1, 1)","(1, 1)",14,8.4
5,"(4, 4)","(1, 1)","(1, 1)",18,8.3
5,"(4, 4)","(1, 1)","(1, 1)",25,7.9
5,"(4, 4)","(1, 1)","(2, 2)",4,9.9
5,"(4, 4)","(1, 1)","(2, 2)",7,9.6
5,"(4, 4)","(1, 1)","(2, 2)",10,10.1
5,"(4, 4)","(1, 1)","(2, 2)",14,10.4
5,"(4, 4)","(1, 1)","(2, 2)",18,10.4
5,"(4, 4)","(1, 1)","(2, 2)",25,10.4
5,"(4, 4)","(1, 1)","(4, 4)",4,6.9
5,"(4, 4)","(1, 1)","(4, 4)",7,7.8
5,"(4, 4)","(1, 1)","(4, 4)",10,7.0
5,"(4, 4)","(1, 1)","(4, 4)",14,6.5
5,"(4, 4)","(1, 1)","(4, 4)",18,7.0
5,"(4, 4)","(1, 1)","(4, 4)",25,6.5
5,"(4, 4)","(2, 2)","(1, 1)",4,8.7
5,"(4, 4)","(2, 2)","(1, 1)",7,8.7
5,"(4, 4)","(2, 2)","(1, 1)",10,8.0
5,"(4, 4)","(2, 2)","(1, 1)",14,8.4
5,"(4, 4)","(2, 2)","(1, 1)",18,7.9
5,"(4, 4)","(2, 2)","(1, 1)",25,7.8
5,"(4, 4)","(2, 2)","(2, 2)",4,9.7
5,"(4, 4)","(2, 2)","(2, 2)",7,9.4
5,"(4, 4)","(2, 2)","(2, 2)",10,9.9
5,"(4, 4)","(2, 2)","(2, 2)",14,9.9
5,"(4, 4)","(2, 2)","(2, 2)",18,9.9
5,"(4, 4)","(2, 2)","(2, 2)",25,10.2
5,"(4, 4)","(2, 2)","(4, 4)",4,7.5
5,"(4, 4)","(2, 2)","(4, 4)",7,7.0
5,"(4, 4)","(2, 2)","(4, 4)",10,7.1
5,"(4, 4)","(2, 2)","(4, 4)",14,6.5
5,"(4, 4)","(2, 2)","(4, 4)",18,6.6
5,"(4, 4)","(2, 2)","(4, 4)",25,6.2
5,"(4, 4)","(4, 4)","(1, 1)",4,7.7
5,"(4, 4)","(4, 4)","(1, 1)",7,8.4
5,"(4, 4)","(4, 4)","(1, 1)",10,7.9
5,"(4, 4)","(4, 4)","(1, 1)",14,7.3
5,"(4, 4)","(4, 4)","(1, 1)",18,7.2
5,"(4, 4)","(4, 4)","(1, 1)",25,7.5
5,"(4, 4)","(4, 4)","(2, 2)",4,8.3
5,"(4, 4)","(4, 4)","(2, 2)",7,9.3
5,"(4, 4)","(4, 4)","(2, 2)",10,9.5
5,"(4, 4)","(4, 4)","(2, 2)",14,9.2
5,"(4, 4)","(4, 4)","(2, 2)",18,9.7
5,"(4, 4)","(4, 4)","(2, 2)",25,9.4
5,"(4, 4)","(4, 4)","(4, 4)",4,6.1
5,"(4, 4)","(4, 4)","(4, 4)",7,6.0
5,"(4, 4)","(4, 4)","(4, 4)",10,6.3
5,"(4, 4)","(4, 4)","(4, 4)",14,6.2
5,"(4, 4)","(4, 4)","(4, 4)",18,6.6
5,"(4, 4)","(4, 4)","(4, 4)",25,6.3
5,"(8, 8)","(1, 1)","(1, 1)",4,8.9
